Area Alias,Email,Twitter,Nostr
bitcoin-jamii-congo,info@bitcoin-jamii.com,@BitcoinJamii,
bitcoin-jamii-goma,info@bitcoin-jamii.com,@BitcoinJamii,
bitcoin-jamii-gombe,info@bitcoin-jamii.com,@BitcoinJamii,
bitcoin-jamii-kinshasa,info@bitcoin-jamii.com,@BitcoinJamii,
bitcoin-jamii-lumumbashi,info@bitcoin-jamii.com,@BitcoinJamii,
bitcoin-kampala,bitcoinkampala@gmail.com,@BitcoinKampala,
bitcoin-lille,bitcoinlille@gmail.com,@BitcoinLille,
bitcoin-liège,btcmeetupbe@protonmail.com,,npub1gsnuv77vcrjsm0kj0ny6zz9xprfnd46lxzsnuedpfa0t8w7c38hspk4g2h
bitcoin-mallorca,contact@mallorcablockchaindays.com,@MallorcaBCDays,
bitcoin-managua,,,
bitcoin-maximex-club,santiagovarela01@gmail.com,@bitcoinmaximexc,
bitcoin-murcia-2140,meetups.xvnxd@simplelogin.com,,
bitcoin-night,maxigoyheneche@gmail.com,,
bitcoin-north-traverse-city,,@rick_stringer,npub1afvu8hx9wv8zkvxawcx36kc2n5wpf4qwhjfk02rgl22n7pj2098qw6d8hh
bitcoin-orihuela-costa,derby_flagg@simplelogin.com,,
bitcoin-park,,@bitcoinpark_,npub1theparkprcs70dcs437ke9zzwsr6u60f8flu7rg28m30438aep9sd94dha
bitcoin-patagonia,bitcoinpatagonia@proton.me,,
bitcoin-queretaro,gustavo@floresechaiz.com,,
bitcoin-salvabourg,iffrig@hotmail.com,,
bitcoin-sevilla,josar1@protonmail.com,,
bitcoin-social-club-madrid,hugowob@proton.me,,
bitcoin-tuesday,gabo@mintter.com,,
bitcoin-y-lightning-guadalajara,dave.rodt@gmail.com,,
bitcoin-zambia,ndesanjo@gmail.com,@BitcoinZambia,
bitcoiners-in-minneapolis,,@BitcoinersMPLS,
bitdev-chilangos-by-libreria-de-satoshi,lalibreriadesatoshi@gmail.com,,
bordeaux,,@BitcoinBordeaux,
bourges-bitcoin,,,
bozeman-bitcoin,tsarahjetter@gmail.com,,npub1d020nktlkel7q09xq4d5zy53w5jx0lgynhtxkg7ggf5kryajet2sxw4uh2
brest,,@brestbitcoin,
brussels-2140,v3g4n0@duck.com,,
cafeteros-bitcoiners,bitao36g@gmail.com,,
cambridge-bitcoin,facefacefacefacefaceface@gmail.com,@CambridgeBTC,
cambridgeshire-bitcoin,cambsbitcoin@gmail.com,@cambsbitcoin,
cannes,,,
chalchuapa-bitcoin,,,
cholet,,,
clermont-ferrand,,@ClermontBitcoin,
coding-with-bitcoin,1asdfah@gmail.com,,
compiegne,,,
crypto-mar-del-plata-argentina,martinnegrimdp@gmail.com,,
cuba-bitcoin,vduwfb@telegmail.com,,
dakar,nouroukta@protonmail.com,@bitcoin_sen,
denver-bit-devs,,@denverbitdevs,
detroit-bitcoin-and-beer,nrolfes@gmail.com,,
digi-oats,admin@digioats.io,@digioats,
dijon,,@GabToken,
dwadzieścia-jeden,,@21BitcoinPolska,
dwadzieścia-jeden-poznań,bitcoin@dwadziesciajeden.pl,@21BitcoinPolska,
dwadziścia-jedyn-katowice,bitcoin@dwadziesciajeden.pl,@21BitcoinPolska,
easy-sats,,@EasySats_,
eenanzwanzeg-letzebuerg,,@EinundzwanzigLU,
einezwaenzg-solothurn,,,
einundzwanzig-aachen,,,
einundzwanzig-augsburg,,,
einundzwanzig-balingen,,,
einundzwanzig-basel,,@einundzwanzigBS,
einundzwanzig-basel-bitcoin-basel,,@einundzwanzigBS,
einundzwanzig-berlin,,,
einundzwanzig-bitburg,,@EinundzwanzigBi,
einundzwanzig-bonn,,,
einundzwanzig-bremen,,,
einundzwanzig-darmstadt,,,
einundzwanzig-dingolfing-landau,,@Schlimmer0815,npub1ml8m49q8g0j5hkm7rqtszn668raku2htmcq4mfr29vdkg4gcruesdp62nn
einundzwanzig-dortmund,,,
einundzwanzig-duesseldorf,,,
einundzwanzig-elbe-elster,,,
einundzwanzig-ellwangen,,,
einundzwanzig-essen,,,
einundzwanzig-franken,,@einundzwanzigFR,
einundzwanzig-frankfurt-am-main,,,
einundzwanzig-freising,,@einundzwanzigfs,npub1lj4j5sfj4tpnx6zg9fqpvfa4psst7xdkstystmhnmrgeasfj7h5s437up5
einundzwanzig-friedrichshafen,,,
einundzwanzig-fulda,,,
einundzwanzig-gelnhausen,,,
einundzwanzig-gran-canaria,,,
einundzwanzig-hamburg,,,
einundzwanzig-heide,,,
einundzwanzig-heidelberg,,,
einundzwanzig-heilbronn,,,
einundzwanzig-heinsberg,,,
einundzwanzig-hennef,,,
einundzwanzig-herrsching,,,
einundzwanzig-hochtaunuskreis,,,
einundzwanzig-ingolstadt,,,
einundzwanzig-karlsruhe,,,
einundzwanzig-kassel-bitcoin,,,
einundzwanzig-kempten,,@MountBitcoin21,
einundzwanzig-klagenfurt,,,
einundzwanzig-koblenz,,@EinundzwanzigKo,
einundzwanzig-koeln,,,
einundzwanzig-konstanz,,@EinundzwanzigKN,
einundzwanzig-liechtenstein,,,
einundzwanzig-linz,,@Einundzwanzig_L,
einundzwanzig-luebeck,,,
einundzwanzig-mainz,,@EinundzwanzigMZ,npub16aaqhqyryr3tuyq208whklngdulm754zukpfgf2g34dkd023uysqz6r9kr
einundzwanzig-mannheim,,@EinundzwanzigMA,
einundzwanzig-mannheim-1,,,
einundzwanzig-mecklenburg-vorpommern,,,
einundzwanzig-meetup-pfaeffikon-sz,,,
einundzwanzig-memmingen,,,
einundzwanzig-muenster,,,
einundzwanzig-nordburgenland,,,
einundzwanzig-norddeutschland,,,
einundzwanzig-nordfriesland,,,
einundzwanzig-nordhausen,,,
einundzwanzig-oelde,,,
einundzwanzig-oldenburg,,,npub10ldent6aecfgy74ayd65qad5c4ryyam9fv7e8w5xyjfy5zrnlm2qtc8vj0
einundzwanzig-osnabrueck,,,
einundzwanzig-ost-brandenburg,,,
einundzwanzig-ostfriesland,,,
einundzwanzig-ostwestfalen-lippe,,,
einundzwanzig-passau,,,
einundzwanzig-pfarrkirchen,,,
einundzwanzig-pfarrkirchen-rottal-inn,,,
einundzwanzig-portugal,,,
einundzwanzig-potsdam,,,
einundzwanzig-recklinghausen,,,
einundzwanzig-regensburg,,@EinundzwanzigRg,
einundzwanzig-rheinhessen,,,
einundzwanzig-ried-ii,,,
einundzwanzig-rosenheim,,,
einundzwanzig-rostock,,,
einundzwanzig-saarland,,@einundzwanzigSL,npub1jaff4nnja4jhvntk22crt9axtl3n9vrrnxj5hgg2zsezrlp5jxyqexhtrt
einundzwanzig-saarland-stammtisch-st-wendel,,,
einundzwanzig-saarlouis,,@21Saarlouis,npub1qhjtcfcreannyfvfv8yzmz0krzpgep7tyv0tvm9cldw5jeqes6fqeks79t
einundzwanzig-sachsen,,,
einundzwanzig-sachsen-anhalt,,,
einundzwanzig-salzburg,,,
einundzwanzig-sauerland,,,
einundzwanzig-schweiz,,,
einundzwanzig-siegen,,@Bitcoinizer,
einundzwanzig-sigmaringen,,,
einundzwanzig-solingen,,,
einundzwanzig-stuttgart,,@EinundzwanzigS,
einundzwanzig-styria,,,
einundzwanzig-suedtirol,,@SudtirolBitcoin,
einundzwanzig-thueringen,,,
einundzwanzig-thurgau,,,
einundzwanzig-tirol,,,
einundzwanzig-trier,,@EinundzwanzigTR,
einundzwanzig-unterfranken,,,
einundzwanzig-vorarlberg,,,
einundzwanzig-vreden,,,
einundzwanzig-vulkaneifel,,@EinundzwanzigVE,
einundzwanzig-wacken,,,
einundzwanzig-westmuensterland,,,
einundzwanzig-wien,,,
einundzwanzig-wiesbaden,,,
el-barrio-bitcoin,ayuda@osmowallet.com,@elbarrioBitcoin,
escuelita-bitcoin,escuelitabitcoin@gmail.com,@escuelitabtc,
gap,,,
gipuzkoa-2140,gipuzkoa2140@proton.me,,
glasgow-bitcoin,,@GlasgowBitcoin,
granada-2140,maestrilloliendre@protonmail.com,,
grand-paris,,,
grand-rapids-bitcoin,,@grbtc,
grenoble,,,
jednadvacet-brno,,,
jednadvacet-liberec,,,npub1eqv8pvhm3vmrw6l4359v7qk8whr4ylepaku0deg5zhzkfvhmnl9st5r5x2
jednadvacet-mělník,jednadvacetmelnik@gmail.com,,
jednadvacet-praha,,,npub1lz8xv2dnyryrk4vswkcgf52vqqzruqwuyp53s7pvusx4fef9fh2s7hh86s
kiveclair,gloire@protonmail.com,@kiveclair,
koh-pha-ngan-btc,hello+kpgbtc@nolim1t.co,,
la-antigua-bitcoin,jc@osmowallet.com,@antiguabtc,
la-cherada-bitcoiner,soyishikawa@proton.me,,
libreville,cedrosage@gmail.com,@LibrevilleBTC,
lima,orangepillperu@proton.me,@orangepillperu,
limoges,,@Bitcoiner87,
lorient,,@BitcoinLorient,
lyon,ajelex@decouvrebitcoin.com,@BitcoinLyon,
macon,mikacrypto@outlook.fr,,
magic-city-bitcoin,tsarahjetter@gmail.com,,
magny-les-hameaux,,,
mallorca-21-bitcoin,krilin@gmx.es,,
marseille,,@MarseilleBTC,
mayasbitcoiners,rubnsport@gmail.com,,
meetbmad,meetbmad.6f348@slmail.me,,
mi-primer-bitcoin,comunicaciones@miprimerbitcoin.io,,
montceau-les-mines,,,
montevrain,,,
montpellier,,@CryptoMeetMtp,
nantes,,@NantesBitcoin,
neuchatel,,,
normandie,,@NormandieBTC,
oeste-bitcoin-maxi-meetup,talvasconcelos@gmail.com,@talvasconcelos,
oxbit,josias@coachcarbon.life,@OxBitMeetUp,
paralelni-polis,bordel@duck.com,,
paris-centre,,@ParisCentreBTC,
penzance-bitcoin,pzbitcoinmeetup@proton.me,@pzbitcoinmeetup,
porto-alegre-bitcoin,mapa@gobtc.com.br,,
pyrenees,,,
quimper,,@QuimperBitcoin,
reichenbach-an-der-fils,,@EinundzwanigRB,npub1t3q8cep6j00u0cqdqu3nspyk4m2ju8w7v0mkd6syqk2hgadpe29snnuqmw
reims,,,
rennes,contact@breizhbitcoin.bzh,@BreizhBitcoin,
reus-2140,joseanjoseantoni@gmail.com,,
roanne,,@RoanneBTCMeetup,
roanne-bitcoin-meetup,satopolys@proton.me,,
round-rock-bitcoiners,hello@roundrockbitcoiners.com,@RBitcoiners,roundrockbitcoiners@nostrplebs.com
saint-brieuc,,@StBrieucBitcoin,
saint-etienne,,,
saint-lô,,,
saint-malo-1,,@stMaloBTCMeetup,
saint-nazaire,,,
santiago-de-chile,criptofilosofo@tutanota.com,,
sao-paulo-gobtc,,@Gobtc_br,
satoshi-en-venezuela,criptobastardo@gmail.com,@satoshienvzla,
satoshi-spritz-arezzo,,,
satoshi-spritz-rovereto-e-trento,kapras92@gmail.com,,
satoshi-spritz-torino,kapras92@gmail.com,,
satoshi-spritz-varese,tumathebitcoiner@proton.me,,
seoul-bitcoin-meetup,,@SeoulBitcoin,
strasbourg,,@ElsassBitcoin,
sutton-coldfield-bitcoin,roger_lee93@yahoo.com,@bitcoinboomer12,
taiwan-bit-devs,bitdevstw@gmail.com,@TaiwanBitdevs,
tjugoett-stockholm,,@TjugoettSthlm08,
toulouse,,,
toulouse-bitcoin-only,,,
tours,,,
trigo-conecta,,,
uusimaa,salamaverkko@salamaverkko.fi,,
valencia-bitcoin-plebs,jabravo@negotians.net,,
versailles,,@VersaillesBTC,
vinte-e-um,mail@vinteum.pt,,
west-michigan-bitcoin-meetup,,@dvhaley,
yirmibir-istanbul,,,
zoolook,,,
zwolle-bitcoinstad,info@zwollebitcoinstad.nl,,
decouvrebitcoin,,@decouvrebitcoin,
Cambridge Bitcoin,https://matrix.to/#/!gbgUHyjgTXgbkESXxu:matrix.geromics.co.uk?via=matrix.geromics.co.uk,@CambridgeBTC,
bitcoin-cypherpunks-uncensored-afterhours ,amerkazmiko@gmail.com,,
blockchain-biel-bienne,lebeck@protonmail.com,,
algarve,,,
amityage,roatan@amityage.com,@AmityAge,
arnhem-bitcoin-city,btcmap@arnhembitcoinstad.nl,@bitcoinstad,
atlanta-bit-devs,atlantabitdevs@proton.me,@atlantabitdevs,
ba-of-hongkong,info@bitcoin.org.hk,@bitcoinorghk,
baden,info@bitcoinbaden.ch,@bitcoinbaden,
bay-area-bitcoiners,,@bayareabtc,
belgian-bitcoin-embassy,,@BelgianBitcoin,
berkshire-bitcoiners,berkshirebitcoiners@gmail.com,@bitcoinshire,
bit-devs-amsterdam,bitdevsamsterdam@proton.me,@BitDevsAms,
bit-miami,BitMiami305@gmail.com,@Bitmiami305,
bitcoin-almeria,albertotheauthor@gmail.com,,
bitcoin-and-beer,rockymountaincitadel@gmail.com,@BeerBitcoin,
bitcoin-aruba,buy@btc.aw,@BitcoinAruba,
bitcoin-association-switzerland,info@bitcoinassociation.ch,@bitcoin_ch,
bitcoin-australia,tokyocitadel.npm6r@aleeas.com,@BitcoinAusComm,
bitcoin-austria,office@bitcoin-austria.at,@bitcoin_at,
bitcoin-beach,peterson1205@earthlink.net,@Bitcoinbeach,
bitcoin-bristol,,@BitcoinBRS,
bitcoin-brunch-miami,bitcoinbrunchnetwork@gmail.com,@brunchofbitcoin,
bitcoin-charlotte,jacob@bitcoincharlotte.org,@Bitcoin_CLT,
bitcoin-cowries,bitcoincowries@gmail.com,@BitcoinCowries_,
bitcoin-cypherpunks-uncensored-afterhours,amerkazmiko@gmail.com,,
bitcoin-dada-nairobi,bitcoindada@protonmail.com,@btc_dada,
bitcoin-dresden,,,
bitcoin-du-liban,,@bitcoinduliban,
bitcoin-edinburgh,BTCedinburgh@gmail.com,@BTCedinburgh,
bitcoin-ekasi,hermann.unravelsurftravel@gmail.com,@BitcoinEkasi,
bitcoin-embassy-london,admin@bitcoinembassylondon.com,@bitcoinembassyu,
bitcoin-embassy-tel-aviv,info@bitembassy.org,@BitcoinEmbassy,
bitcoin-in-venice,,@bitcoininvenice,
bitcoin-island-philippines,bill@pouch.ph,@BtcRetreat,
bitcoin-jungle,mrtraver@gmail.com,@BitcoinJungleCR,
bitcoin-lake-guatemala,,@LakeBitcoin,
bitcoin-lausanne,,@BitcoinLausanne,
bitcoin-montreal,kevin@satoshiportal.com,@pouliotfrancis_,
bitcoin-mountain,,@_BitcoinMt,
bitcoin-munich,btcmap@mep.li,@bitcoinmuc,
bitcoin-naples,,@BitcoinNaples,
bitcoin-nottingham,satoshi@bitcoinnottingham.org,@bitcoin_nottingham,
bitcoin-poland-silesia,cryptomeetup@protonmail.com,@bitcoinmeetupPL,
bitcoin-puerto-rico,btcpuertorico@pm.me,@btcpuertorico,
bitcoin-rock,,@CasaHendrix,
bitcoin-saigon,,@BitcoinSaigon,npub13ek3cargj3wtuduut5y0jkdlqkmvxmrvzzex96krzejjj580t9ashr4946
bitcoin-sheffield,,@btcsheffield21,
bitcoin-surrey,BitcoinSurrey@gmail.com,@bitcoinsurrey,
bitcoin-sydney,jpratt3@hotmail.com,@Bitcoin_Sydney,
bitcoin-toronto,bitcointoronto@protonmail.com,@bitcointoronto_,
bitcoin-ubuntu,bitcoinubuntu@pm.me,@bitcoinubuntu,
bitcoin-ville-de-québec,,@btcvilleqc,
bitcoin-wirral,satoshi@bitcoinWirral.org,@BitcoinWirral21,
bitcoin21-arabic,,@Bamskki,
bitcoin4india-mumbai,Community@bitcoin4India.org,@bitcoin4india,npub1ma5tatv2fctj9nd5tfvdjmr8gcpkhjxk4fmltnmkazxhll0pa0mqcp4s5m
bitcoiner-malaysia,,@bitcoinerMY,
bitcoinessex,bitcoinessex@proton.me,@btcessex,
bitkiwi,,@Bitkiwi1,
bitplebs-los-angeles,,@bitplebsla,
boulder-bitcoin,,@BoulderBitcoin,
brighton-hove,,@brighton_btc,
btc-curacao,hello@btccuracao.com,@btccuracao,
btc-gloucestershire,,@BTCGlos,
btc-norte,,,
chiang-mai,,,
colorado-bitcoin,,@MountainCitadel,
de-bitcoin-meetup,Bitcoinmeetup@posteo.net,,
detroit-bitcoin,duck@kronkltd.net,@detbtc,npub1detred96wsj2feh0glc8333xjtxex07y6vhc9ylyqneq4uvjjh8snttn56
dezentralschweiz,bitcoiner804@pm.me,@dezentralch,
dubai-citadel,,@DubaiCitadel,
dublin-bitcoiners,gary@dublinbitcoiners.com,@dublinbitcoiner,
durango-bitcoiners,bitcoinstudygroup@protonmail.com,@Bitcoinlovesyou,
dwadzieścia-jeden-warszawa,bitcoin@dwadziesciajeden.pl,@21BitcoinPolska,
dwadzieścia-jeden-wrocław,bitcoin@dwadziesciajeden.pl,@21BitcoinPolska,
eenanzwanzeg-lëtzebuerg,eenanzwanzeg@protonmail.com,@einundzwanziglu,
einundzwanzig-deutschland,mail@einundzwanzig.space,@_einundzwanzig_,
greek-bitcoin-network,,@greekbitcoinnet,
harlem-bitcoin,harlembitcoin@gmail.com,@HarlemBitcoin,
hayek-club-magdeburg,magdeburg@hayek.de,@hayeksociety,
iom,,@BTCIOM,
knoxville-bitcoin,knoxvillebitcoin@gmail.com,@KnoxvilleBTC,
lake-district-btc,,@LakeDistrictBTC,
leeds-bitcoin-network,leedsbtc@proton.me,@LeedsBTC,
lincolnland-bitcoin,lincolnlandbitcoin@gmail.com,@BTCLincolnLand,
lisbon-bitcoin-maximalists,,,
london-bitcoin-space,,@LDNBTCSPACE,
lugano-plan-b,,@LuganoPlanB,
maranhão,,,
mass-adoption,g25hoff@gmail.com,@BTC_Mass,
melbourne-bitcoin-only,,@BitcoinMEL,
merseybit,contact@merseybit.com,@MerseyBit,
mid-michigan-bitcoin,info@bitcoin101.io,@517Bitcoin,
málaga-2140,malaga2140@proton.me,@Malaga2140,
nevada-county-bitcoin,nevadacountybtc@proton.me,@nevcobtc,
newcastle-bitcoin-meetup,,@BitcoinNCL,
northamptonshire,,@nshirebitcoin,
northernbtc,northernbitcoincollective@yahoo.com,@northernBTC,
nzbitcoiners,hello@nzbitcoiners.org,@NZBitcoiners,
paralelná-polis-levice,web@paralelnapolislevice.sk,,
pontevedra-2140,,,
praia-bitcoin-jeri,,@BitcoinBeachBR,
preston,prestonbitcoin@hotmail.com,@PrestonBTCMeet,
redding-bitcoin,reddingbitcoincenter@protonmail.com,@BitcoinRedding,
rome-bitcoin-forum,,@RomeBTCForum,
sactown-bitcoin,bitcoinkarlasactown@gmail.com,@SactownBitcoin,
san-diego-bitcoiners,coreyedwards@pm.me,@sdbitcoiners,
satoshi-spritz,,@satoshispritz,
satoshi-spritz-faenza,fvalgio@gmail.com,,
satoshi-spritz-milano,valerio.vaccaro@gmail.com,@satoshispritz,
slc-btc,,@SLC_BTC_Meetup,
st-charles,,,
suffolk-bitcoin,suffolkbitcoin@gmail.com,@suffolkbitcoin,
tokyo-citadel,tokyocitadel.npm6r@aleeas.com,@tokyocitadel,npub1cl42c2k2j7zw2upef2c2qjpd7sz7ks0r5nkvjag7k86q8zev8l0qwmgf39
topeka-bitcoin,topcitybitcoiner@gmail.com,@TopekaBitcoin,
triangle-bit-devs,trianglebitdevs@protonmail.com,@TriangleBitDevs,
vancouver-bitcoiners,,@VanBitcoiners,
victoria-bitcoin,victoriabitcoiners@protonmail.com,@btc_victoria,
western-mass-bitcoin,BTCFreedomMoney@gmail.com,@MassBitcoin,
yyc,info@yycbitcoin.com,@yycbitcoin,
portland_bitcoin_group,EricYHF@pm.me,,
bansko-bitcoin,,@BanskoBitcoin,
bitcoin-berlin,,@bitcoinberlinsv,
horizonte_bitcoin,HorizonteBitcoin@protonmail.com,,npub1wl8u4wfqsdz5m9ey0vvzh4y05mcpk2lm2xhhpw3uzs3878c2mw9sr2ksxk
bitcoin-e-aqui,iksolon@protonmail.com,@bitcoineaqui,npub168dqt5c8ue3uj8ynlk0lhwalnp7uy39lvzf9tm09wy3htxwmw7qq5nerj4
bitcoin-witsand,mrjonesza@gmail.com,@BitcoinWitsand,npub1k3zlpffzvr424t2xc44peepwzd2zq63gz7qfr6qy7lxsxzva6fwsmuydsu
santa-ana,bitcoinerosdeloccidente@proton.me,,
gibraltar,21Mfund@protonmail.com,,
montanha-bitcoin,montanhabitcoin@gmail.com,@montanhabitcoin,
einundzwanzig-limburg,,,
bitcoin-manchester,hello@bitcoinmanchester.org.uk,@bitcoin_mcr,
bitshack,agdworkmail@gmail.com,@Bitshack,
colmar,,,
colombia-p2p,colbitcoin@gmail.com,@colombiap2p,
orleans,,,
bitcoin-valley,info@inbitcoin.it,,
free-madeira,info@freemadeira.com,@FREEMadeiraOrg,npub1etgqcj9gc6yaxttuwu9eqgs3ynt2dzaudvwnrssrn2zdt2useaasfj8n6e
monaco,,@monaco_bitcoin,
enogtyve-københavn,kontakt@enogtyve.org,@enogtyvedk,npub1h5gc62mhzak97z9y9mznc9jcwv0re8nx9eqt35ta9d4kyvjqt9csnzjx0m
enogtyve-bornholm,kontakt@enogtyve.org,@enogtyvedk,npub1h5gc62mhzak97z9y9mznc9jcwv0re8nx9eqt35ta9d4kyvjqt9csnzjx0m
enogtyve-odense,kontakt@enogtyve.org,@enogtyvedk,npub1h5gc62mhzak97z9y9mznc9jcwv0re8nx9eqt35ta9d4kyvjqt9csnzjx0m
enogtyve-samsø,kontakt@enogtyve.org,@enogtyvedk,npub1h5gc62mhzak97z9y9mznc9jcwv0re8nx9eqt35ta9d4kyvjqt9csnzjx0m
enogtyve-ålborg,kontakt@enogtyve.org,@enogtyvedk,npub1h5gc62mhzak97z9y9mznc9jcwv0re8nx9eqt35ta9d4kyvjqt9csnzjx0m
enogtyve-århus,kontakt@enogtyve.org,@enogtyvedk,npub1h5gc62mhzak97z9y9mznc9jcwv0re8nx9eqt35ta9d4kyvjqt9csnzjx0m
bitcoin-powerhouse,,@BitcoinpowerH21,npub1yyhng9y4t5tu2t8c2gaxwp635zu4su7pqzlyxncc436f5j906xvsawxnuq
dvadsatjeden-prievidza,bitcoin@dvadsatjeden.org,@Dvadsatjeden,
